timestamp,lecture,width,height,max_iter,method,time_s,speedup_vs_naive
2026-03-25 15:55:31,lecture_6,256,256,120,Naive Python,0.5280199000262655,1.0
2026-03-25 15:55:31,lecture_6,256,256,120,NumPy,0.0884756000014022,5.967971960833238
2026-03-25 15:55:31,lecture_6,256,256,120,Numba,0.0097469000029377,54.173111437186975
2026-03-25 15:55:31,lecture_6,256,256,120,Numba + multiprocessing,0.0109430000302381,48.25184122884196
2026-03-25 15:55:31,lecture_6,256,256,120,Dask (LocalCluster),0.0331957999733276,15.906226102414212
2026-04-07 19:15:28,lecture_6,256,256,120,Naive Python,0.1934956000186503,1.0
2026-04-07 19:15:28,lecture_6,256,256,120,NumPy,0.0831399000016972,2.3273494437051307
2026-04-07 19:15:28,lecture_6,256,256,120,Numba,0.0064802999841049,29.859049811468903
2026-04-07 19:15:28,lecture_6,256,256,120,Numba + multiprocessing,0.0040325000009033,47.98402975208985
2026-04-07 19:15:28,lecture_6,256,256,120,Dask (LocalCluster),0.0348730999976396,5.548563220125163
2026-04-07 19:16:36,lecture_6,256,256,120,Naive Python,0.367778099986026,1.0
2026-04-07 19:16:36,lecture_6,256,256,120,NumPy,0.0995413999771699,3.694725009597784
2026-04-07 19:16:36,lecture_6,256,256,120,Numba,0.0087552999902982,42.00633906246069
2026-04-07 19:16:36,lecture_6,256,256,120,Numba + multiprocessing,0.0036110999935772,101.84655662821947
2026-04-07 19:16:36,lecture_6,256,256,120,Dask (LocalCluster),0.0228418000042438,16.101099734596023
2026-04-25 09:52:51,lecture_8,256,256,120,Naive Python,0.5890646000043489,1.0
2026-04-25 09:52:51,lecture_8,256,256,120,Numba float64,0.0120893000275827,48.726113063646906
2026-04-25 09:52:51,lecture_8,256,256,120,Numba float32,0.0123374000540934,47.74625102708751
2026-04-25 09:52:51,lecture_8,256,256,120,Sensitivity Map (float32+float64),0.953399599995464,0.6178569825361281
2026-04-25 10:58:58,lecture_10,256,256,120,GPU float32 (OpenCL),0.0015144000062718987,388.97556627359586
2026-04-25 10:58:58,lecture_10,256,256,120,GPU float64 (OpenCL),0.002203300013206899,267.3556013586032
